season,station_number,valid_15z_date,MinT
Winter 2015,86338,2015-08-19,5.5
Winter 2015,14015,2015-08-19,16.2
Winter 2015,70351,2015-08-19,-3.8
Winter 2015,40913,2015-08-19,
Winter 2015,94029,2015-08-19,2.7
Winter 2015,9225,2015-08-19,13.3
Winter 2015,66062,2015-08-20,8.2
Winter 2015,23090,2015-08-20,15.2
Winter 2015,86338,2015-08-20,6.1
Winter 2015,14015,2015-08-20,17.2
Winter 2015,70351,2015-08-20,
Winter 2015,40913,2015-08-20,11.4
Winter 2015,94029,2015-08-20,1.9
Winter 2015,9225,2015-08-20,11.5
Winter 2015,66062,2015-08-21,9.4
Winter 2015,23090,2015-08-21,12.7
Winter 2015,86338,2015-08-21,13.5
Winter 2015,14015,2015-08-21,20.4
Winter 2015,70351,2015-08-21,-2.5
Winter 2015,40913,2015-08-21,15.3
Winter 2015,94029,2015-08-21,5.3
Winter 2015,9225,2015-08-21,9.7
Winter 2015,66062,2015-08-22,15.7
Winter 2015,23090,2015-08-22,9.6
Winter 2015,86338,2015-08-22,11.8
Winter 2015,14015,2015-08-22,20.6
Winter 2015,70351,2015-08-22,2.7
Winter 2015,40913,2015-08-22,16.9
Winter 2015,94029,2015-08-22,12.7
Winter 2015,9225,2015-08-22,4.3
Winter 2015,66062,2015-08-23,15.4
